timestamp,x position
0.1,0.099833417
0.2,0.198669331
0.3,0.295520207
0.4,0.389418342
0.5,0.479425539
0.6,0.564642473
0.7,0.644217687
0.8,0.717356091
0.9,0.78332691
1,0.841470985
1.1,0.89120736
1.2,0.932039086
1.3,0.963558185
1.4,0.98544973
1.5,0.997494987
1.6,0.999573603
1.7,0.99166481
1.8,0.973847631
1.9,0.946300088
2,0.909297427
2.1,0.863209367
2.2,0.808496404
2.3,0.745705212
2.4,0.675463181
2.5,0.598472144
2.6,0.515501372
2.7,0.42737988
2.8,0.33498815
2.9,0.239249329
3,0.141120008
3.1,0.041580662
3.2,-0.058374143
3.3,-0.157745694
3.4,-0.255541102
3.5,-0.350783228
3.6,-0.442520443
3.7,-0.529836141
3.8,-0.611857891
3.9,-0.687766159
4,-0.756802495
4.1,-0.818277111
4.2,-0.871575772
4.3,-0.916165937
4.4,-0.951602074
4.5,-0.977530118
4.6,-0.993691004
4.7,-0.999923258
4.8,-0.996164609
4.9,-0.982452613
5,-0.958924275
5.1,-0.925814682
5.2,-0.883454656
5.3,-0.832267442
5.4,-0.772764488
5.5,-0.705540326
5.6,-0.631266638
5.7,-0.550685543
5.8,-0.464602179
5.9,-0.373876665
6,-0.279415498
6.1,-0.182162504
6.2,-0.083089403
6.3,0.0168139
